0.005,0.0,0.0.1,0.0.2,0.0.3,-0.03805321,-0.07087331,-0.055656694
0.304,0.5799942,0.16369095,-1.125978,0.294,0.17713001,-0.19337861,0.104132846
0.315,0.59204006,0.05165845,-1.1363932,0.305,0.1952395,-0.08898279,0.14993918
0.324,0.46479416,-0.09047517,-1.1305404,0.314,0.22826266,0.003695133,0.18935393
0.336,0.2299509,-0.24881634,-0.99808943,0.323,0.3028311,0.082524635,0.19681077
0.342,-0.27752686,-0.38700342,-0.8918974,0.337,0.42746693,0.14324465,0.16804866
0.356,-0.82494736,-0.52245975,-0.8153765,0.342,0.57873434,0.18478993,0.11691601
0.364,-1.2417641,-0.6878222,-0.6611316,0.355,0.7321323,0.19224678,0.03169492
0.375,-1.6088238,-0.91807765,-0.4342701,0.365,0.86102915,0.14430992,-0.10359354
0.384,-1.995472,-1.1136886,0.033436295,0.376,0.9377281,0.028196193,-0.275101
0.395,-2.2263832,-1.1540116,0.6006943,0.383,0.93240184,-0.15929018,-0.4508695
